iter	Passed	Remaining
967	32896	1087
968	32933	1053
969	32973	1019
970	33009	985
971	33050	952
972	33090	918
973	33128	884
974	33165	850
975	33206	816
976	33246	782
977	33293	748
978	33333	715
979	33375	681
980	33418	647
981	33460	613
982	33503	579
983	33536	545
984	33568	511
985	33600	477
986	33637	443
987	33682	409
988	33720	375
989	33757	340
990	33786	306
991	33815	272
992	33844	238
993	33881	204
994	33922	170
995	33955	136
996	33984	102
997	34013	68
998	34042	34
999	34071	0
